EntrezGeneID	MCL1.DG	MCL1.DH	MCL1.DI	MCL1.DJ	MCL1.DK	MCL1.DL	MCL1.LA	MCL1.LB	MCL1.LC	MCL1.LD	MCL1.LE	MCL1.LF
634762	0	0	0	0	0	0	0	0	0	0	0	0
22099	916	786	929	821	767	632	1381	1284	1191	885	868	902
67949	1427	1560	1757	1280	626	495	1359	1294	1190	1151	475	483
76707	2473	2267	1968	2287	3524	3085	1503	1496	891	1029	484	492
68204	10	15	16	3	2	4	4	8	6	2	4	14
81879	502	324	171	115	170	96	1501	1567	663	621	876	750
14633	128	74	266	310	381	307	36	46	2	0	0	0
16324	402	420	173	210	95	169	4510	4371	884	744	267	343
100502628	0	0	0	0	0	0	0	0	0	0	0	0
64143	845	1072	1124	904	816	647	2246	2261	1564	1582	460	492
226351	867	897	627	560	423	400	894	879	342	357	164	156
226352	352	369	280	177	138	147	1168	1108	522	631	300	268
19258	639	594	624	528	547	417	717	681	348	303	177	206
66343	34	15	20	17	25	26	66	42	10	9	27	19
226356	0	2	7	3	3	2	0	0	0	0	0	0
319229	1	2	3	1	0	1	0	0	1	1	0	0
170706	45	44	187	142	66	92	37	30	113	88	26	21
13167	1559	1619	2845	2876	4363	3469	4037	3891	11050	10916	5542	5421
73103	48	45	35	37	22	28	36	53	23	31	10	13
68428	296	246	211	146	79	76	293	323	815	993	1317	1419
226359	9	0	2	2	0	0	0	0	0	0	0	0
17167	6	0	1	1	0	0	0	0	0	0	0	0
13798	2	4	0	2	0	1	0	0	0	0	0	0
98452	0	0	0	0	0	0	0	0	0	0	0	0
72999	918	896	665	690	838	798	566	565	219	275	305	301
70829	680	495	491	449	608	623	475	436	369	356	283	288
15564	2	0	1	1	0	1	0	0	0	0	0	0
66942	411	375	374	247	198	146	456	404	306	255	185	165
100502702	0	0	0	0	0	0	0	0	0	0	0	0
269109	0	0	0	1	0	0	0	1	0	8	3	4
74117	3930	3876	5897	4953	5123	4396	3226	3669	4543	4407	1762	1888
74150	1697	1777	1397	1306	1476	1216	1975	1961	1513	1504	1158	962
71111	2	1	2	7	2	1	17	24	13	9	4	7
72585	0	1	2	3	1	3	0	0	0	0	0	0
210356	138	157	496	430	422	409	265	409	18	54	38	32
107895	296	280	330	346	261	281	599	868	82	75	133	102
667090	903	957	946	820	504	493	1518	1753	1223	981	483	459
72160	1	2	2	5	1	0	0	2	0	0	0	1
266645	2	0	3	2	5	1	0	0	1	0	0	1
100502745	4	8	6	2	9	5	2	5	1	2	1	3
72949	912	811	890	701	633	639	1358	1531	1193	1167	650	685
22625	0	0	0	1	1	0	0	1	2	1	0	1
226407	1343	1370	1256	1111	1227	1200	1624	1734	1514	1526	1341	1254
226409	261	257	216	203	137	176	229	241	172	111	175	138
226412	1608	1439	1482	1295	1316	1298	1679	1731	1582	1316	750	781
387147	0	0	0	0	1	0	0	0	0	0	0	0
67812	2780	3219	4215	4288	3835	3084	2943	3716	3644	3545	1754	1611
226413	10	5	48	63	63	63	1	2	1	0	0	1
17219	1429	1291	918	598	173	156	2725	2317	2023	774	1294	1318
226414	1216	1015	1301	1047	949	884	1836	1832	1599	1150	872	876
12767	726	536	275	191	195	302	1244	1305	117	71	17	23
